# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
197000 -1.77636e-15 -1.17684e-14 -9.99201e-16 -1.71758e-20 -1.13789e-19 -9.66136e-21
198000 8.21565e-15 2.88658e-15 6.43929e-15 7.94379e-20 2.79106e-20 6.22621e-20
199000 4.88498e-15 -4.38538e-15 5.88418e-15 4.72333e-20 -4.24027e-20 5.68947e-20
200000 -3.9968e-15 1.77636e-15 6.66134e-16 -3.86455e-20 1.71758e-20 6.44091e-21
201000 -8.88178e-16 -8.88178e-15 -1.77636e-15 -8.58788e-21 -8.58788e-20 -1.71758e-20
202000 5.32907e-15 -1.12133e-14 6.66134e-15 5.15273e-20 -1.08422e-19 6.44091e-20
203000 8.54872e-15 1.08802e-14 1.33227e-14 8.26583e-20 1.05202e-19 1.28818e-19
204000 -3.9968e-15 -1.11022e-14 1.21014e-14 -3.86455e-20 -1.07348e-19 1.1701e-19
205000 1.11022e-14 -7.10543e-15 4.44089e-15 1.07348e-19 -6.8703e-20 4.29394e-20
206000 -4.88498e-15 -5.66214e-15 2.66454e-15 -4.72333e-20 -5.47477e-20 2.57636e-20
207000 1.24345e-14 5.32907e-15 1.19904e-14 1.2023e-19 5.15273e-20 1.15936e-19
208000 1.16573e-14 7.77156e-15 -8.21565e-15 1.12716e-19 7.51439e-20 -7.94379e-20
209000 8.88178e-16 5.55112e-15 -4.66294e-15 8.58788e-21 5.36742e-20 -4.50864e-20
210000 -2.44249e-15 3.88578e-15 -5.88418e-15 -2.36167e-20 3.7572e-20 -5.68947e-20
211000 -2.22045e-16 5.77316e-15 3.55271e-15 -2.14697e-21 5.58212e-20 3.43515e-20
212000 4.77396e-15 -4.44089e-16 -4.88498e-15 4.61598e-20 -4.29394e-21 -4.72333e-20
213000 4.66294e-15 -1.44329e-15 3.10862e-15 4.50864e-20 -1.39553e-20 3.00576e-20
214000 3.9968e-15 -7.43849e-15 7.66054e-15 3.86455e-20 -7.19235e-20 7.40705e-20
215000 -6.32827e-15 -6.21725e-15 3.55271e-15 -6.11886e-20 -6.01152e-20 3.43515e-20
216000 5.77316e-15 1.33227e-14 1.9873e-14 5.58212e-20 1.28818e-19 1.92154e-19
217000 -1.11022e-15 -6.66134e-16 -8.88178e-16 -1.07348e-20 -6.44091e-21 -8.58788e-21
218000 1.33227e-15 -6.66134e-15 -7.27196e-15 1.28818e-20 -6.44091e-20 -7.03133e-20
219000 1.33227e-14 -5.77316e-15 -1.11022e-15 1.28818e-19 -5.58212e-20 -1.07348e-20
220000 -5.32907e-15 -3.77476e-15 -1.11022e-14 -5.15273e-20 -3.64985e-20 -1.07348e-19
221000 5.10703e-15 -3.33067e-15 -3.55271e-15 4.93803e-20 -3.22045e-20 -3.43515e-20
222000 8.10463e-15 2.55351e-15 1.33227e-14 7.83644e-20 2.46902e-20 1.28818e-19
223000 -5.32907e-15 2.70894e-14 8.43769e-15 -5.15273e-20 2.6193e-19 8.15849e-20
224000 2.88658e-15 -8.88178e-16 -1.33227e-15 2.79106e-20 -8.58788e-21 -1.28818e-20
225000 7.54952e-15 4.44089e-16 -6.66134e-15 7.2997e-20 4.29394e-21 -6.44091e-20
226000 1.42109e-14 -1.55431e-14 4.21885e-15 1.37406e-19 -1.50288e-19 4.07924e-20
227000 3.77476e-15 -6.66134e-16 -4.44089e-15 3.64985e-20 -6.44091e-21 -4.29394e-20
228000 -2.55351e-15 -4.88498e-15 -9.10383e-15 -2.46902e-20 -4.72333e-20 -8.80258e-20
229000 5.32907e-15 -3.10862e-15 -6.88338e-15 5.15273e-20 -3.00576e-20 -6.65561e-20
230000 -4.88498e-15 8.43769e-15 -3.55271e-15 -4.72333e-20 8.15849e-20 -3.43515e-20
231000 3.55271e-15 -2.30926e-14 -1.37668e-14 3.43515e-20 -2.23285e-19 -1.33112e-19
232000 -4.73233e-15 -8.54872e-15 -2.22045e-15 -4.57573e-20 -8.26583e-20 -2.14697e-20
233000 2.22045e-16 -7.32747e-15 -1.02141e-14 2.14697e-21 -7.085e-20 -9.87606e-20
234000 -6.32827e-15 -9.99201e-16 -6.43929e-15 -6.11886e-20 -9.66136e-21 -6.22621e-20
235000 -1.70974e-14 1.13243e-14 6.66134e-15 -1.65317e-19 1.09495e-19 6.44091e-20
236000 -1.70974e-14 2.55351e-15 1.9984e-15 -1.65317e-19 2.46902e-20 1.93227e-20
237000 1.33227e-15 -1.22125e-14 -8.77076e-15 1.28818e-20 -1.18083e-19 -8.48053e-20
238000 9.32587e-15 -3.77476e-15 1.33227e-15 9.01727e-20 -3.64985e-20 1.28818e-20
239000 9.99201e-15 1.42109e-14 -2.22045e-15 9.66136e-20 1.37406e-19 -2.14697e-20
240000 1.36557e-14 5.32907e-15 4.66294e-15 1.32039e-19 5.15273e-20 4.50864e-20
241000 -3.77476e-15 -2.66454e-15 7.99361e-15 -3.64985e-20 -2.57636e-20 7.72909e-20
242000 1.88738e-15 -1.02141e-14 8.88178e-16 1.82492e-20 -9.87606e-20 8.58788e-21
243000 9.76996e-15 1.21014e-14 -5.77316e-15 9.44667e-20 1.1701e-19 -5.58212e-20
244000 4.44089e-16 -1.14908e-14 8.65974e-15 4.29394e-21 -1.11106e-19 8.37318e-20
245000 -3.55271e-15 1.08802e-14 -4.44089e-16 -3.43515e-20 1.05202e-19 -4.29394e-21
246000 1.33227e-15 -2.44249e-15 -4.44089e-15 1.28818e-20 -2.36167e-20 -4.29394e-20
247000 0 5.32907e-15 -1.33227e-15 0 5.15273e-20 -1.28818e-20
248000 1.11022e-14 -7.77156e-15 -3.33067e-16 1.07348e-19 -7.51439e-20 -3.22045e-21
249000 5.77316e-15 -1.08802e-14 4.44089e-16 5.58212e-20 -1.05202e-19 4.29394e-21
250000 1.77636e-15 -6.43929e-15 -1.55431e-15 1.71758e-20 -6.22621e-20 -1.50288e-20
251000 7.99361e-15 -2.44249e-15 6.43929e-15 7.72909e-20 -2.36167e-20 6.22621e-20
252000 6.71685e-15 -1.04361e-14 2.44249e-15 6.49458e-20 -1.00908e-19 2.36167e-20
253000 2.22045e-15 -2.66454e-15 3.10862e-15 2.14697e-20 -2.57636e-20 3.00576e-20
254000 -1.02141e-14 4.44089e-15 -1.44329e-15 -9.87606e-20 4.29394e-20 -1.39553e-20
255000 0 -1.68754e-14 -8.65974e-15 0 -1.6317e-19 -8.37318e-20
256000 -2.44249e-15 -4.88498e-15 -2.22045e-15 -2.36167e-20 -4.72333e-20 -2.14697e-20
257000 -3.9968e-15 -6.21725e-15 1.02141e-14 -3.86455e-20 -6.01152e-20 9.87606e-20
