# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050.000000000001
  3 0.025 1.5 0.00932583
  4 0.035 4.71 0.0301893
  5 0.045 3.71 0.0232362
  6 0.055 6.42 0.0405369
  7 0.065 4.19 0.0266779
  8 0.075 0.3 0.0020756
  9 0.085 3.19 0.0200524
  10 0.095 5.46 0.0346194
  11 0.105 0.97 0.00671109
  12 0.115 4.84 0.0303471
  13 0.125 0.54 0.0034256
  14 0.135 0 0
  15 0.145 0 0
  16 0.155 0.32 0.00221397
  17 0.165 3.71 0.0232534
  18 0.175 2.04 0.0130964
  19 0.185 3.04 0.0190491
  20 0.195 2.72 0.0173354
  21 0.205 0.17 0.00117617
  22 0.215 2 0.0126989
  23 0.225 1 0.00633221
  24 0.235 0.36 0.00228373
  25 0.245 4.3 0.0269215
  26 0.255 6.8 0.0431832
  27 0.265 0.54 0.00373607
  28 0.275 0 0
  29 0.285 0 0
  30 0.295 0 0
  31 0.305 2.32 0.0152923
  32 0.315 30.82 0.195295
  33 0.325 112.7 0.716706
  34 0.335 181.85 1.15356
  35 0.345 198.93 1.25928
  36 0.355 189.57 1.2032
  37 0.365 199.84 1.26827
  38 0.375 211.69 1.34463
  39 0.385 199.47 1.26533
  40 0.395 208.77 1.32351
  41 0.405 194.03 1.22981
  42 0.415 211.91 1.34244
  43 0.425 181.53 1.15695
  44 0.435 200.1 1.26612
  45 0.445 198.07 1.25797
  46 0.455 189.8 1.20186
  47 0.465 201.75 1.27898
  48 0.475 189.97 1.20201
  49 0.485 188.4 1.20238
  50 0.495 192.67 1.21814
  51 0.505 178.73 1.13042
  52 0.515 198.76 1.26473
  53 0.525 182.5 1.16082
  54 0.535 178.2 1.12815
  55 0.545 199.47 1.26369
  56 0.555 196.11 1.24153
  57 0.565 192.77 1.22501
  58 0.575 207.64 1.31778
  59 0.585 211.49 1.33878
  60 0.595 187.43 1.19524
  61 0.605 199.75 1.26801
  62 0.615 207.43 1.31115
  63 0.625 184.59 1.17338
  64 0.635 216.37 1.37068
  65 0.645 202.85 1.28842
  66 0.655 200.61 1.26942
  67 0.665 169.57 1.07528
  68 0.675 98.39 0.626618
  69 0.685 10.43 0.0668663
