# Time-averaged data for fix 2
# TimeStep v_TEMPERATURE v_PRESSURE v_KE v_PE v_TOT_ENG v_ECOUPLE v_ECONSERVE
242000 220.51 14.3438 4633.29 -5604.95 -971.664 -6117.79 -7089.45
243000 222.322 -88.5258 4671.36 -5584.75 -913.386 -6176.33 -7089.72
244000 220.703 112.23 4637.34 -5529.31 -891.967 -6197.52 -7089.49
245000 223.483 97.1858 4695.77 -5543.31 -847.544 -6241.97 -7089.52
246000 221.028 160.584 4644.18 -5606.64 -962.464 -6127.23 -7089.7
247000 221.015 -124.721 4643.91 -5558.55 -914.642 -6174.57 -7089.21
248000 218.819 -186.675 4597.77 -5560.42 -962.647 -6126.66 -7089.31
249000 219.113 -90.2352 4603.95 -5516.36 -912.413 -6176.9 -7089.31
250000 221.952 -41.508 4663.59 -5518.54 -854.952 -6234.14 -7089.09
251000 217.974 84.8706 4580 -5529.33 -949.327 -6140.13 -7089.46
252000 214.766 37.9696 4512.61 -5467.06 -954.447 -6134.82 -7089.27
253000 220.347 -89.4333 4629.87 -5491.26 -861.39 -6227.99 -7089.38
254000 221.836 0.0811271 4661.16 -5470.82 -809.667 -6279.71 -7089.38
255000 217.567 0.320484 4571.45 -5465.98 -894.529 -6194.77 -7089.29
256000 218.756 -162.176 4596.43 -5380.99 -784.559 -6304.52 -7089.08
257000 223.093 48.9422 4687.56 -5397.46 -709.894 -6379.52 -7089.41
258000 220.058 35.0269 4623.8 -5392.68 -768.875 -6320.68 -7089.56
259000 222.258 -8.43234 4670.02 -5513.09 -843.073 -6246.32 -7089.4
260000 220.663 -240.016 4636.51 -5495.91 -859.404 -6230.03 -7089.44
261000 219.709 50.7407 4616.46 -5493.59 -877.131 -6212.44 -7089.57
262000 220.487 180.512 4632.81 -5432.61 -799.797 -6289.71 -7089.5
263000 220.152 -33.36 4625.77 -5410.75 -784.986 -6304.3 -7089.28
264000 224.625 211.284 4719.75 -5476.58 -756.832 -6332.76 -7089.59
265000 219.593 -323.871 4614.04 -5458.47 -844.436 -6245.54 -7089.98
266000 217.2 -77.6068 4563.75 -5519.15 -955.404 -6134.33 -7089.73
267000 220.559 204.164 4634.34 -5503.68 -869.344 -6220.33 -7089.67
268000 219.236 -78.7148 4606.52 -5400.67 -794.155 -6295.21 -7089.37
269000 221.209 -248.206 4647.98 -5450.79 -802.813 -6286.7 -7089.51
270000 221.508 227.867 4654.26 -5477.98 -823.717 -6265.93 -7089.65
271000 221.033 301.371 4644.28 -5415.9 -771.625 -6317.98 -7089.6
272000 219.613 183.829 4614.44 -5512.28 -897.835 -6191.82 -7089.65
273000 217.556 -91.6593 4571.22 -5515.81 -944.591 -6144.97 -7089.57
274000 216.371 74.3155 4546.32 -5459.54 -913.219 -6176.05 -7089.27
275000 224.793 122.425 4723.29 -5612.39 -889.097 -6200.39 -7089.49
276000 219.888 112.557 4620.22 -5573.8 -953.574 -6135.7 -7089.28
277000 223.706 239.295 4700.45 -5487.26 -786.809 -6302.22 -7089.03
278000 220.019 -167.767 4622.98 -5520.74 -897.76 -6191.4 -7089.16
279000 221.182 -103.379 4647.42 -5503.15 -855.723 -6233.49 -7089.21
