# Chunk-averaged data for fix dens_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1000 100 7050
  70 0.695 1.14 0.00712833
  71 0.705 0 0
  72 0.715 0 0
  73 0.725 0 0
  74 0.735 5.98 0.0371649
  75 0.745 3.05 0.020136
  76 0.755 2.45 0.0157261
  77 0.765 3.52 0.0221286
  78 0.775 0 0
  79 0.785 2.21 0.0142553
  80 0.795 3.8 0.0238589
  81 0.805 6.25 0.0394814
  82 0.815 2.74 0.01756
  83 0.825 0 0
  84 0.835 2.47 0.015416
  85 0.845 0.53 0.00361514
  86 0.855 1.63 0.010691
  87 0.865 3.78 0.023341
  88 0.875 0.59 0.00403026
  89 0.885 0.15 0.0010378
  90 0.895 5.43 0.0343428
  91 0.905 0.42 0.0026816
  92 0.915 0 0
  93 0.925 3.19 0.0203457
  94 0.935 5.62 0.0354331
  95 0.945 0.19 0.00131454
  96 0.955 3.63 0.0231484
  97 0.965 1.93 0.0120766
  98 0.975 0.77 0.00512038
  99 0.985 5.16 0.0324058
  100 0.995 5.88 0.0375252
6000 100 7050.000000000002
  1 0.005 4.66 0.0294639
  2 0.015 3.99 0.0254494
  3 0.025 4.69 0.0299475
  4 0.035 4.08 0.0258133
  5 0.045 4.44 0.0277348
  6 0.055 7.29 0.0464181
  7 0.065 1.58 0.010138
  8 0.075 5.65 0.035658
  9 0.085 2.11 0.0134945
  10 0.095 1.94 0.0121803
  11 0.105 1.06 0.00685082
  12 0.115 0 0
  13 0.125 0 0
  14 0.135 0.72 0.00496418
  15 0.145 4.39 0.0273717
  16 0.155 3.89 0.0247575
  17 0.165 0 0
  18 0.175 1.93 0.0118869
  19 0.185 2.74 0.0177842
  20 0.195 2.9 0.0183393
  21 0.205 4.22 0.0266612
  22 0.215 0.21 0.00145292
  23 0.225 0 0
  24 0.235 0.8 0.00518995
  25 0.245 2.85 0.0179416
  26 0.255 2.24 0.0141697
  27 0.265 1.29 0.00840761
  28 0.275 4.96 0.0311428
  29 0.285 2.49 0.0157441
  30 0.295 0.37 0.0025599
  31 0.305 6.08 0.0386157
  32 0.315 69.51 0.442331
  33 0.325 156.97 0.997692
  34 0.335 195.19 1.2323
  35 0.345 184.75 1.17206
  36 0.355 185.24 1.17714
  37 0.365 184.71 1.17083
  38 0.375 195.73 1.23999
  39 0.385 180.42 1.15031
  40 0.395 197.22 1.24881
  41 0.405 185.87 1.17587
  42 0.415 181.4 1.15438
  43 0.425 191.5 1.21583
  44 0.435 191.08 1.21275
  45 0.445 217.83 1.37474
  46 0.455 187.08 1.19487
  47 0.465 195.56 1.23772
  48 0.475 177.46 1.12521
  49 0.485 194.29 1.2348
  50 0.495 185.56 1.17216
  51 0.505 183.65 1.1689
  52 0.515 188.57 1.19307
  53 0.525 183.25 1.16668
  54 0.535 191.55 1.21514
  55 0.545 185.21 1.17022
  56 0.555 199.42 1.26869
