# Time-averaged data for fix 3
# TimeStep c_mom[1] c_mom[2] c_mom[3] v_vx_com v_vy_com v_vz_com
141000 -2.22045e-15 -3.9968e-15 -1.33227e-15 -2.14697e-20 -3.86455e-20 -1.28818e-20
142000 2.84495e-15 -1.15463e-14 -6.21725e-15 2.75081e-20 -1.11642e-19 -6.01152e-20
143000 -8.88178e-15 8.88178e-16 7.10543e-15 -8.58788e-20 8.58788e-21 6.8703e-20
144000 1.27676e-15 -1.33227e-15 3.9968e-15 1.23451e-20 -1.28818e-20 3.86455e-20
145000 5.9952e-15 1.02141e-14 3.9968e-15 5.79682e-20 9.87606e-20 3.86455e-20
146000 4.44089e-15 4.44089e-15 5.77316e-15 4.29394e-20 4.29394e-20 5.58212e-20
147000 7.10543e-15 -1.11022e-15 -1.33227e-15 6.8703e-20 -1.07348e-20 -1.28818e-20
148000 -3.9968e-15 -1.02141e-14 1.77636e-15 -3.86455e-20 -9.87606e-20 1.71758e-20
149000 -1.22125e-14 1.39888e-14 -3.33067e-16 -1.18083e-19 1.35259e-19 -3.22045e-21
150000 -1.63203e-14 9.76996e-15 -6.32827e-15 -1.57802e-19 9.44667e-20 -6.11886e-20
151000 1.17684e-14 1.44329e-15 7.38298e-15 1.13789e-19 1.39553e-20 7.13867e-20
152000 6.21725e-15 -9.88098e-15 8.10463e-15 6.01152e-20 -9.55402e-20 7.83644e-20
153000 -5.77316e-15 8.16014e-15 -3.55271e-15 -5.58212e-20 7.89011e-20 -3.43515e-20
154000 4.88498e-15 4.44089e-16 -5.66214e-15 4.72333e-20 4.29394e-21 -5.47477e-20
155000 -7.10543e-15 2.22045e-15 8.65974e-15 -6.8703e-20 2.14697e-20 8.37318e-20
156000 2.22045e-15 1.11022e-15 4.77396e-15 2.14697e-20 1.07348e-20 4.61598e-20
157000 -5.32907e-15 7.10543e-15 7.99361e-15 -5.15273e-20 6.8703e-20 7.72909e-20
158000 -6.43929e-15 8.88178e-16 2.66454e-15 -6.22621e-20 8.58788e-21 2.57636e-20
159000 9.65894e-15 -3.55271e-15 -6.21725e-15 9.33932e-20 -3.43515e-20 -6.01152e-20
160000 1.06581e-14 0 9.76996e-15 1.03055e-19 0 9.44667e-20
161000 3.10862e-15 6.21725e-15 -2.66454e-15 3.00576e-20 6.01152e-20 -2.57636e-20
162000 0 -1.0103e-14 8.43769e-15 0 -9.76871e-20 8.15849e-20
163000 5.77316e-15 3.55271e-15 1.42109e-14 5.58212e-20 3.43515e-20 1.37406e-19
164000 7.54952e-15 7.99361e-15 -8.65974e-15 7.2997e-20 7.72909e-20 -8.37318e-20
165000 -4.44089e-15 1.27676e-14 2.44249e-15 -4.29394e-20 1.23451e-19 2.36167e-20
166000 2.22045e-15 0 9.76996e-15 2.14697e-20 0 9.44667e-20
167000 -7.32747e-15 1.55431e-15 9.99201e-15 -7.085e-20 1.50288e-20 9.66136e-20
168000 -5.9952e-15 1.31006e-14 2.22045e-16 -5.79682e-20 1.26671e-19 2.14697e-21
169000 7.99361e-15 5.10703e-15 -1.33227e-15 7.72909e-20 4.93803e-20 -1.28818e-20
170000 -6.43929e-15 -1.33227e-14 -1.66533e-14 -6.22621e-20 -1.28818e-19 -1.61023e-19
171000 7.10543e-15 -7.99361e-15 -1.47105e-15 6.8703e-20 -7.72909e-20 -1.42237e-20
172000 3.55271e-15 2.22045e-15 -2.9976e-15 3.43515e-20 2.14697e-20 -2.89841e-20
173000 9.99201e-16 1.42109e-14 4.44089e-15 9.66136e-21 1.37406e-19 4.29394e-20
174000 -4.88498e-15 -6.66134e-15 1.24345e-14 -4.72333e-20 -6.44091e-20 1.2023e-19
175000 4.44089e-16 2.66454e-15 -3.33067e-15 4.29394e-21 2.57636e-20 -3.22045e-20
176000 1.33227e-15 -7.99361e-15 7.32747e-15 1.28818e-20 -7.72909e-20 7.085e-20
177000 1.77636e-15 -5.77316e-15 -2.44249e-15 1.71758e-20 -5.58212e-20 -2.36167e-20
178000 9.4369e-15 -1.88738e-15 1.42109e-14 9.12462e-20 -1.82492e-20 1.37406e-19
179000 7.88258e-15 3.55271e-15 -8.88178e-16 7.62174e-20 3.43515e-20 -8.58788e-21
180000 -3.44169e-15 -2.22045e-15 -8.43769e-15 -3.3278e-20 -2.14697e-20 -8.15849e-20
181000 3.55271e-15 -9.32587e-15 7.54952e-15 3.43515e-20 -9.01727e-20 7.2997e-20
